Author,Tags,File name,Number of nodes.ast,Number of edges.ast,Tree height.ast,Number of nodes.call,Number of edges.call,Impurity of tree.call,Number of self loops.call
Thomas Lehmann,"['colors', 'cube', 'puzzle']",4CubesPuzzle.py,1007,1006,24,23,39,0.609,1
Jorge Besada,"['ado', 'database']",ADODatabase.py,741,740,15,16,22,0.375,1
Aaron Riekenberg,['network'],ASIOProxy.py,980,980,12,37,56,0.27,1
Brian Fiedler,"['animation', 'javascript']",AnimateImages.py,457,456,11,17,17,0.059,0
Jan Kaliszewski,"['auxiliary', 'class', 'clos', 'decorator', 'inheritance', 'method', 'object', 'super']",AuxiliaryMethods.py,1100,1099,13,52,75,0.404,1
Stephen Chappell,"['experiment', 'generator', 'images', 'proof_of_concept', 'test']",BitMapMaker.py,4813,4812,16,65,126,0.492,1
elazar,['calculation'],BladeOffer_Method.py,597,596,12,28,33,0.214,0
sivarama sarma,"['big_table', 'bloom_filter', 'sets', 'spelling_checker', 'spell_checker']",BloomFilter.py,583,582,12,30,36,0.133,0
Raymond Hettinger,"['cache', 'memoization']",CachingDecorator.py,287,286,13,21,38,0.571,1
fra,"['analysis', 'clone', 'code', 'dry', 'duplication', 'parse', 'similarity', 'static', 'syntax']",CloneDetector.py,863,862,14,34,52,0.412,1
Vasudev Ram,"['cli', 'commandline', 'hug', 'library', 'python', 'python3', 'user_interface', 'web', 'web_server']",CommandLineInterface.py,181,180,9,10,11,0.3,0
yota,"['memory', 'sizeof']",CompMemoryFootprint.py,234,233,11,18,29,0.611,0
Raymond Hettinger,"['algorithms', 'benchmark', 'heaps', 'performance']",CompareAlgoForHEAPQSmallest.py,472,471,10,22,30,0.409,4
Malcolm Jeremy Lewis,['(none)'],Connect4.py,887,886,12,23,47,0.565,1
Ginko,"['converter', 'srt', 'transcript', 'youtube']",ConvertYouTubeTranscript.py,344,343,10,21,24,0.143,0
Vasudev Ram,"['commandline', 'csv', 'data', 'files', 'formats', 'pdf', 'pdf_generation', 'python', 'tsv', 'utilities', 'xtopdf']",DSVtoPDF.py,713,712,11,28,34,0.286,0
Stephen Chappell,"['delete', 'directory', 'recursion']",DestroyingDirectories.py,322,321,12,24,24,0.042,0
Stephen Chappell,"['commandline', 'directory', 'sizeof', 'tree']",DirectorySize.py,599,598,14,21,29,0.286,1
p@ntut$,['youtube'],DownloadYoutubeVid.py,1900,1899,14,33,61,0.424,0
yota,['cryptography'],ED25519.py,1288,1287,14,30,68,0.6,3
Emil george james,"['calculator', 'emi', 'python']",EMICalc.py,222,221,15,10,17,0.7,0
